family,w1_a1.2,w1_a20.2,w1_a26.2,w1_a32.2,w1_a36.2,w1_a5.2,w1_a18.2,w1_a28.2,w1_a7.2,w1_a15.2,w1_a24.2,w1_a30.2,w1_a34.2,w1_a10.2,w1_a38.2,AutonomySupport_wave1
10,5.0,1.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,7.0,1.0,4.0,4.533333333333333
11,5.0,4.0,6.0,4.0,5.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.533333333333333
12,7.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.2
13,4.0,3.0,2.0,5.0,3.0,5.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,,6.0,3.142857142857143
14,5.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0
15,6.0,4.0,6.0,4.0,6.0,4.0,3.0,3.0,7.0,4.0,,5.0,3.0,7.0,4.0,4.714285714285714
16,6.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,5.2
17,6.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.733333333333333
18,6.0,6.0,4.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,2.0,5.0,5.0,5.0,4.0,4.733333333333333
19,6.0,6.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0
20,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.666666666666667
21,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,5.0,6.0,7.0,6.466666666666667
22,7.0,6.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.333333333333333
23,6.0,4.0,4.0,5.0,6.0,7.0,2.0,3.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,4.733333333333333
24,6.0,4.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.4
25,7.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.466666666666667
26,6.0,5.0,5.0,6.0,3.0,6.0,4.0,6.0,6.0,7.0,6.0,6.0,7.0,3.0,4.0,5.333333333333333
27,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,7.0,6.6
28,7.0,6.0,4.0,5.0,6.0,7.0,4.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,5.933333333333334
29,7.0,6.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,6.333333333333333
30,6.0,6.0,5.0,6.0,6.0,7.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,5.466666666666667
31,7.0,6.0,6.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.533333333333333
32,7.0,7.0,6.0,6.0,7.0,1.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.133333333333334
33,6.0,4.0,5.0,6.0,7.0,6.0,5.0,3.0,2.0,7.0,5.0,7.0,6.0,1.0,7.0,5.133333333333334
34,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,6.066666666666666
35,7.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.2
36,6.0,1.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,3.0,5.0,4.0,3.0,3.0,3.0,4.266666666666667
37,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3333333333333335
38,6.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,3.3333333333333335
