family,w1_c13.2,w1_c23.2,w1_c34.2,w1_c41.2,w1_c73.2,OrganismicFaith_wave1
10,4.0,7.0,4.0,1.0,4.0,4.0
11,6.0,6.0,6.0,3.0,6.0,5.4
12,7.0,7.0,7.0,7.0,7.0,7.0
13,3.0,5.0,6.0,7.0,6.0,5.4
14,6.0,5.0,6.0,6.0,6.0,5.8
15,7.0,7.0,4.0,7.0,5.0,6.0
16,6.0,6.0,6.0,6.0,5.0,5.8
17,6.0,4.0,7.0,2.0,5.0,4.8
18,6.0,6.0,7.0,6.0,6.0,6.2
19,6.0,7.0,6.0,4.0,6.0,5.8
20,6.0,7.0,6.0,5.0,7.0,6.2
21,7.0,7.0,7.0,5.0,7.0,6.6
22,4.0,6.0,4.0,2.0,7.0,4.6
23,4.0,5.0,3.0,6.0,5.0,4.6
24,5.0,4.0,4.0,4.0,6.0,4.6
25,6.0,6.0,6.0,4.0,6.0,5.6
26,5.0,6.0,6.0,5.0,6.0,5.6
27,7.0,7.0,4.0,7.0,7.0,6.4
28,4.0,6.0,4.0,6.0,6.0,5.2
29,6.0,6.0,6.0,6.0,6.0,6.0
30,7.0,7.0,7.0,7.0,7.0,7.0
31,7.0,7.0,7.0,2.0,7.0,6.0
32,7.0,6.0,4.0,2.0,6.0,5.0
33,7.0,7.0,7.0,6.0,6.0,6.6
34,7.0,7.0,5.0,6.0,6.0,6.2
35,6.0,6.0,6.0,5.0,6.0,5.8
36,6.0,5.0,7.0,6.0,6.0,6.0
37,7.0,7.0,6.0,5.0,7.0,6.4
38,6.0,5.0,6.0,5.0,6.0,5.6
39,5.0,5.0,5.0,6.0,7.0,5.6
40,6.0,6.0,5.0,6.0,6.0,5.8
41,4.0,7.0,4.0,3.0,7.0,5.0
42,4.0,5.0,5.0,3.0,5.0,4.4
43,6.0,5.0,3.0,7.0,7.0,5.6
44,6.0,6.0,6.0,5.0,6.0,5.8
45,6.0,7.0,7.0,7.0,7.0,6.8
46,4.0,6.0,4.0,3.0,2.0,3.8
47,6.0,6.0,6.0,6.0,7.0,6.2
48,7.0,7.0,7.0,6.0,7.0,6.8
49,5.0,7.0,5.0,6.0,7.0,6.0
50,6.0,6.0,6.0,4.0,6.0,5.6
51,5.0,6.0,5.0,4.0,4.0,4.8
52,4.0,6.0,4.0,7.0,7.0,5.6
53,3.0,5.0,7.0,2.0,6.0,4.6
54,7.0,6.0,6.0,6.0,6.0,6.2
55,6.0,4.0,6.0,4.0,5.0,5.0
56,6.0,4.0,7.0,5.0,6.0,5.6
57,6.0,6.0,6.0,3.0,7.0,5.6
58,6.0,6.0,6.0,6.0,7.0,6.2
59,5.0,7.0,7.0,7.0,7.0,6.6
60,7.0,7.0,6.0,6.0,7.0,6.6
61,5.0,6.0,7.0,7.0,7.0,6.4
62,6.0,5.0,6.0,4.0,5.0,5.2
63,6.0,4.0,6.0,2.0,6.0,4.8
64,6.0,6.0,5.0,2.0,5.0,4.8
65,7.0,7.0,6.0,7.0,7.0,6.8
66,6.0,5.0,6.0,4.0,6.0,5.4
67,3.0,4.0,5.0,3.0,5.0,4.0
68,5.0,5.0,5.0,4.0,3.0,4.4
69,4.0,6.0,6.0,4.0,6.0,5.2
70,6.0,6.0,6.0,6.0,6.0,6.0
71,6.0,6.0,5.0,5.0,6.0,5.6
72,4.0,7.0,5.0,3.0,5.0,4.8
73,5.0,3.0,3.0,2.0,6.0,3.8
74,5.0,6.0,6.0,3.0,7.0,5.4
75,5.0,6.0,6.0,7.0,6.0,6.0
76,7.0,7.0,6.0,6.0,7.0,6.6
77,5.0,6.0,4.0,7.0,7.0,5.8
78,4.0,7.0,7.0,4.0,7.0,5.8
79,7.0,6.0,7.0,7.0,7.0,6.8
80,,,,,,
81,7.0,6.0,7.0,6.0,6.0,6.4
82,6.0,7.0,5.0,7.0,6.0,6.2
83,4.0,6.0,4.0,6.0,5.0,5.0
84,4.0,7.0,7.0,7.0,7.0,6.4
85,6.0,7.0,6.0,6.0,6.0,6.2
86,2.0,4.0,5.0,4.0,4.0,3.8
87,6.0,5.0,6.0,5.0,4.0,5.2
88,6.0,4.0,5.0,6.0,6.0,5.4
89,6.0,5.0,7.0,6.0,6.0,6.0
90,6.0,6.0,4.0,6.0,6.0,5.6
91,4.0,5.0,7.0,7.0,7.0,6.0
92,3.0,6.0,5.0,5.0,6.0,5.0
93,7.0,6.0,6.0,4.0,7.0,6.0
94,6.0,2.0,7.0,4.0,6.0,5.0
95,7.0,5.0,6.0,5.0,6.0,5.8
96,3.0,4.0,4.0,4.0,6.0,4.2
97,5.0,6.0,4.0,5.0,7.0,5.4
98,7.0,6.0,6.0,6.0,6.0,6.2
99,4.0,4.0,4.0,7.0,7.0,5.2
100,5.0,5.0,4.0,7.0,7.0,5.6
101,6.0,6.0,6.0,6.0,6.0,6.0
102,6.0,6.0,6.0,6.0,6.0,6.0
103,6.0,7.0,6.0,7.0,7.0,6.6
104,,,,,,
105,7.0,7.0,3.0,4.0,6.0,5.4
106,4.0,1.0,1.0,4.0,7.0,3.4
107,4.0,6.0,3.0,,7.0,5.0
108,4.0,7.0,4.0,5.0,7.0,5.4
109,4.0,5.0,5.0,5.0,4.0,4.6
110,7.0,7.0,5.0,5.0,6.0,6.0
111,4.0,6.0,5.0,5.0,6.0,5.2
112,5.0,5.0,4.0,4.0,7.0,5.0
113,6.0,6.0,6.0,4.0,6.0,5.6
114,7.0,7.0,7.0,5.0,7.0,6.6
115,7.0,6.0,6.0,4.0,6.0,5.8
116,5.0,6.0,5.0,4.0,7.0,5.4
117,6.0,6.0,6.0,6.0,6.0,6.0
118,5.0,3.0,6.0,5.0,7.0,5.2
119,5.0,6.0,4.0,6.0,6.0,5.4
120,6.0,7.0,6.0,5.0,7.0,6.2
121,6.0,6.0,7.0,4.0,6.0,5.8
122,5.0,5.0,6.0,6.0,,5.5
123,4.0,6.0,4.0,5.0,7.0,5.2
124,5.0,6.0,5.0,5.0,6.0,5.4
125,7.0,7.0,7.0,7.0,7.0,7.0
126,6.0,6.0,5.0,6.0,6.0,5.8
127,7.0,7.0,5.0,2.0,7.0,5.6
128,7.0,7.0,4.0,4.0,5.0,5.4
129,6.0,6.0,6.0,6.0,7.0,6.2
130,5.0,6.0,5.0,6.0,6.0,5.6
131,6.0,6.0,3.0,2.0,4.0,4.2
132,5.0,6.0,4.0,6.0,7.0,5.6
133,6.0,6.0,7.0,7.0,7.0,6.6
134,5.0,6.0,5.0,5.0,6.0,5.4
135,4.0,5.0,6.0,5.0,5.0,5.0
136,6.0,6.0,7.0,6.0,7.0,6.4
137,4.0,6.0,4.0,5.0,4.0,4.6
138,6.0,6.0,5.0,6.0,6.0,5.8
139,6.0,6.0,4.0,5.0,6.0,5.4
140,4.0,5.0,6.0,5.0,7.0,5.4
