w1_c13.2,w1_c23.2,w1_c34.2,w1_c41.2,w1_c73.2
4.0,7.0,4.0,1.0,4.0
6.0,6.0,6.0,3.0,6.0
7.0,7.0,7.0,7.0,7.0
3.0,5.0,6.0,7.0,6.0
6.0,5.0,6.0,6.0,6.0
7.0,7.0,4.0,7.0,5.0
6.0,6.0,6.0,6.0,5.0
6.0,4.0,7.0,2.0,5.0
6.0,6.0,7.0,6.0,6.0
6.0,7.0,6.0,4.0,6.0
6.0,7.0,6.0,5.0,7.0
7.0,7.0,7.0,5.0,7.0
4.0,6.0,4.0,2.0,7.0
4.0,5.0,3.0,6.0,5.0
5.0,4.0,4.0,4.0,6.0
6.0,6.0,6.0,4.0,6.0
5.0,6.0,6.0,5.0,6.0
7.0,7.0,4.0,7.0,7.0
4.0,6.0,4.0,6.0,6.0
6.0,6.0,6.0,6.0,6.0
7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,2.0,7.0
7.0,6.0,4.0,2.0,6.0
7.0,7.0,7.0,6.0,6.0
7.0,7.0,5.0,6.0,6.0
6.0,6.0,6.0,5.0,6.0
6.0,5.0,7.0,6.0,6.0
7.0,7.0,6.0,5.0,7.0
6.0,5.0,6.0,5.0,6.0
5.0,5.0,5.0,6.0,7.0
6.0,6.0,5.0,6.0,6.0
4.0,7.0,4.0,3.0,7.0
4.0,5.0,5.0,3.0,5.0
6.0,5.0,3.0,7.0,7.0
6.0,6.0,6.0,5.0,6.0
6.0,7.0,7.0,7.0,7.0
4.0,6.0,4.0,3.0,2.0
6.0,6.0,6.0,6.0,7.0
7.0,7.0,7.0,6.0,7.0
5.0,7.0,5.0,6.0,7.0
6.0,6.0,6.0,4.0,6.0
5.0,6.0,5.0,4.0,4.0
4.0,6.0,4.0,7.0,7.0
3.0,5.0,7.0,2.0,6.0
7.0,6.0,6.0,6.0,6.0
6.0,4.0,6.0,4.0,5.0
6.0,4.0,7.0,5.0,6.0
6.0,6.0,6.0,3.0,7.0
6.0,6.0,6.0,6.0,7.0
5.0,7.0,7.0,7.0,7.0
7.0,7.0,6.0,6.0,7.0
5.0,6.0,7.0,7.0,7.0
6.0,5.0,6.0,4.0,5.0
6.0,4.0,6.0,2.0,6.0
6.0,6.0,5.0,2.0,5.0
7.0,7.0,6.0,7.0,7.0
6.0,5.0,6.0,4.0,6.0
3.0,4.0,5.0,3.0,5.0
5.0,5.0,5.0,4.0,3.0
4.0,6.0,6.0,4.0,6.0
6.0,6.0,6.0,6.0,6.0
6.0,6.0,5.0,5.0,6.0
4.0,7.0,5.0,3.0,5.0
5.0,3.0,3.0,2.0,6.0
5.0,6.0,6.0,3.0,7.0
5.0,6.0,6.0,7.0,6.0
7.0,7.0,6.0,6.0,7.0
5.0,6.0,4.0,7.0,7.0
4.0,7.0,7.0,4.0,7.0
7.0,6.0,7.0,7.0,7.0
,,,,
7.0,6.0,7.0,6.0,6.0
6.0,7.0,5.0,7.0,6.0
4.0,6.0,4.0,6.0,5.0
4.0,7.0,7.0,7.0,7.0
6.0,7.0,6.0,6.0,6.0
2.0,4.0,5.0,4.0,4.0
6.0,5.0,6.0,5.0,4.0
6.0,4.0,5.0,6.0,6.0
6.0,5.0,7.0,6.0,6.0
6.0,6.0,4.0,6.0,6.0
4.0,5.0,7.0,7.0,7.0
3.0,6.0,5.0,5.0,6.0
7.0,6.0,6.0,4.0,7.0
6.0,2.0,7.0,4.0,6.0
7.0,5.0,6.0,5.0,6.0
3.0,4.0,4.0,4.0,6.0
5.0,6.0,4.0,5.0,7.0
7.0,6.0,6.0,6.0,6.0
4.0,4.0,4.0,7.0,7.0
5.0,5.0,4.0,7.0,7.0
6.0,6.0,6.0,6.0,6.0
6.0,6.0,6.0,6.0,6.0
6.0,7.0,6.0,7.0,7.0
,,,,
7.0,7.0,3.0,4.0,6.0
4.0,1.0,1.0,4.0,7.0
4.0,6.0,3.0,,7.0
4.0,7.0,4.0,5.0,7.0
4.0,5.0,5.0,5.0,4.0
7.0,7.0,5.0,5.0,6.0
4.0,6.0,5.0,5.0,6.0
5.0,5.0,4.0,4.0,7.0
6.0,6.0,6.0,4.0,6.0
7.0,7.0,7.0,5.0,7.0
7.0,6.0,6.0,4.0,6.0
5.0,6.0,5.0,4.0,7.0
6.0,6.0,6.0,6.0,6.0
5.0,3.0,6.0,5.0,7.0
5.0,6.0,4.0,6.0,6.0
6.0,7.0,6.0,5.0,7.0
6.0,6.0,7.0,4.0,6.0
5.0,5.0,6.0,6.0,
4.0,6.0,4.0,5.0,7.0
5.0,6.0,5.0,5.0,6.0
7.0,7.0,7.0,7.0,7.0
6.0,6.0,5.0,6.0,6.0
7.0,7.0,5.0,2.0,7.0
7.0,7.0,4.0,4.0,5.0
6.0,6.0,6.0,6.0,7.0
5.0,6.0,5.0,6.0,6.0
6.0,6.0,3.0,2.0,4.0
5.0,6.0,4.0,6.0,7.0
6.0,6.0,7.0,7.0,7.0
5.0,6.0,5.0,5.0,6.0
4.0,5.0,6.0,5.0,5.0
6.0,6.0,7.0,6.0,7.0
4.0,6.0,4.0,5.0,4.0
6.0,6.0,5.0,6.0,6.0
6.0,6.0,4.0,5.0,6.0
4.0,5.0,6.0,5.0,7.0
5.0,6.0,6.0,5.0,7.0
6.0,7.0,6.0,6.0,7.0
7.0,7.0,7.0,7.0,7.0
,5.0,5.0,7.0,6.0
7.0,7.0,7.0,7.0,7.0
6.0,5.0,7.0,6.0,7.0
6.0,6.0,6.0,5.0,4.0
7.0,7.0,7.0,2.0,7.0
3.0,3.0,5.0,6.0,6.0
7.0,7.0,7.0,7.0,7.0
6.0,3.0,5.0,2.0,6.0
3.0,2.0,3.0,5.0,6.0
4.0,7.0,5.0,4.0,7.0
6.0,7.0,6.0,6.0,7.0
5.0,5.0,7.0,4.0,7.0
6.0,6.0,6.0,6.0,7.0
5.0,6.0,6.0,6.0,6.0
6.0,6.0,7.0,6.0,6.0
7.0,,,,
6.0,6.0,4.0,6.0,7.0
7.0,7.0,7.0,5.0,7.0
7.0,7.0,7.0,6.0,6.0
7.0,7.0,7.0,7.0,7.0
7.0,7.0,4.0,7.0,7.0
